Quad,Zipcode,Eviction Date,Unnamed: 0,Unnamed: 1,Unnamed: 2
NW,20001,11/1/2024,,,
NW,20010,11/1/2024,,,
NW,20010,11/1/2024,,,
NW,20010,11/1/2024,,,
NW,20010,11/1/2024,,,
NW,20009,11/1/2024,,,
NW,20011,11/1/2024,,,
NW,20010,11/1/2024,,,
NW,20010,11/1/2024,,,
NW,20009,11/1/2024,,,
NE,20019,11/4/2024,,,
NE,20002,11/4/2024,,,
NE,20002,11/4/2024,,,
NE,20002,11/4/2024,,,
NE,20002,11/4/2024,,,
NE,20002,11/4/2024,,,
NE,20019,11/4/2024,,,
NE,20018,11/4/2024,,,
NE,20019,11/4/2024,,,
NE,20019,11/4/2024,,,
SE,20032,11/5/2024,,,
SE,20003,11/5/2024,,,
SE,20032,11/5/2024,,,
SW,20024,11/5/2024,,,
SE,20032,11/5/2024,,,
SW,20032,11/5/2024,,,
SE,20032,11/5/2024,,,
SW,20024,11/5/2024,,,
SE,20032,11/5/2024,,,
SE,20032,11/5/2024,,,
SW,20024,11/5/2024,,,
SE,20020,11/5/2024,,,
SE,20020,11/5/2024,,,
