2613 DOUGLASS ROAD UNIT C,SE,20020,1/28/2025,Unnamed: 0
2661 STANTON  ROAD UNIT 206,SE,20020,1/28/2025,
2603 JASPER STREET UNIT 2,SE,20020,1/28/2025,
2658 SHERIDAN ROAD UNIT 4,SE,20020,1/28/2025,
1610 SAVANNAH STREET UNIT 101,SE,20020,1/28/2025,
1811 23RD STREET UNIT 223C,SE,20020,1/28/2025,
809 NEW JERSEY AVE #1027,SE,20003,1/28/2025,
1529 28TH STREET UNIT 302,SE,20020,1/28/2025,
3255 23RD STREET #22,SE,20020,1/28/2025,
800 4TH ST UNIT N603,SW,20024,1/28/2025,
4849 CONNECTICUT AVENUE #225,NW,20008,1/29/2025,
3636 16TH STREET UNIT B935,NW,20010,1/29/2025,
3636 16TH STREET UNIT B-813,NW,20010,1/29/2025,
4849 CONNECTICUT AVE #308,NW,20008,1/29/2025,
1400 IRVING STREET #947,NW,20010,1/29/2025,
1337 5TH STREET,NW,20001,1/29/2025,
6939 GEORGIA AVENUE #410,NW,20012,1/29/2025,
3636 16TH STREET UNIT B-744,NW,20010,1/29/2025,
3636 16TH STREET UNIT A1158,NW,20010,1/29/2025,
815 JUNIPER STREET UNIT 102,NW,20012,1/29/2025,
4545 CONNECTICUT AVENUE UNIT 212,NW,20008,1/29/2025,
1490 7TH STREET UNIT 401,NW,20001,1/29/2025,
2655 15TH STREET 1ST FLOOR,NW,20009,1/29/2025,
3825 GEORGIA AVENUE UNIT 301,NW,20011,1/29/2025,
1490 7TH STREET UNIT 505,NW,20001,1/29/2025,
3636 16TH STREET #B-654,NW,20010,1/29/2025,
631 T STREET,NW,20001,1/29/2025,
3636 16TH STREET UNIT A1152,NW,20010,1/29/2025,
3220 CONNECTICUT AVENUE UNIT 314,NW,20008,1/29/2025,
1730 7TH STREET UNIT 207,NW,20001,1/29/2025,
127 GALVESTON STREET #B1,SW,20032,1/30/2025,
1800 HALF STREET #711,SW,20024,1/30/2025,
84 GALVESTON STREET UNIT 101,SW,20032,1/30/2025,
4001 SOUTH CAPITOL STREET UNIT 128,SW,20032,1/30/2025,
1100 MISSISSIPPI AVENUE #235,SE,20032,1/30/2025,
1200 MISSISSIPPI AVENUE #221,SE,20032,1/30/2025,
21 ATLANTIC STREET #317,SW,20032,1/30/2025,
4420 B STREET #2,SE,20019,1/30/2025,
600 4TH STREET #735,SW,20024,1/30/2025,
3640 MINNESOTA AVENUE #303,SE,20019,1/30/2025,
350 MAPLE DRIVE #0905,SW,20024,1/30/2025,
2 I STREET #437,SE,20003,1/30/2025,
2750 SHERIDAN ROAD UNIT 2,SE,20020,1/30/2025,
2516 SHERIDAN ROAD UNIT 313,SE,20020,1/30/2025,
2515 R STREET UNIT 304,SE,20020,1/30/2025,
2677 DOUGLASS ROAD UNIT 204,SE,20020,1/30/2025,
1150 4TH STREET #PH09,SW,20024,1/30/2025,
