5294-24,1621 BUTLER STREET #3,SE,20020,9/24/2024,Unnamed: 0,Unnamed: 1,Unnamed: 2
12373-23,222 M ST #622,SW,20024,9/24/2024,,,
11582-23,3723 HORNER PL APT 202,SE,20032,9/24/2024,,,
5012-24,2649 PARK PLACE #101,SE,20020,9/24/2024,,,
5033-24,2649 Q STREET #302,SE,20020,9/24/2024,,,
4898-24,4303 3RD STREET UNIT 202,SE,20032,9/24/2024,,,
4577-24,4001 SOUTH CAPITOL STREET UNIT 407,SW,20032,9/24/2024,,,
4572-24,4001 SOUTH CAPITOL STREET UNIT 502,SW,20032,9/24/2024,,,
5050-24,2323 SHERMAN AVE #340,NW,20001,9/25/2024,,,
5016-24,"2255 WISCONSIN AVENUE, #109",NW,20007,9/25/2024,,,
5122-24,35 E STREET #213,NW,20001,9/25/2024,,,
5078-24,1714 Q ST APT 2,NW,20009,9/25/2024,,,
9928-23,912 GALLATIN STREET #202,NW,20011,9/25/2024,,,
4780-24,3003 VAN NES STREET #S925,NW,20008,9/25/2024,,,
6449-23,6501 14TH STREET #307,NW,20012,9/25/2024,,,
4791-24,2727 29TH STREET #305,NW,20008,9/25/2024,,,
4777-24,2131 9TH ST #334,NW,20001,9/25/2024,,,
7757-23,2950 VAN NESS STREET #514,NW,20008,9/25/2024,,,
5079-24,1140 NORTH CAPITOL STREET UNIT 705,NW,20002,9/25/2024,,,
4419-24,460 L STREET #431,NW,20001,9/25/2024,,,
5198-24,1921 8TH STREET #E-200,NW,20001,9/25/2024,,,
10044-23,5823 COLORADO AVENUE,NW,20011,9/25/2024,,,
11637-23,2535 13TH ST #305,NW,20009,9/25/2024,,,
0723-22,1400 IRVING STREET #947,NW,20010,9/25/2024,,,
4164-24,7019 GEORGIA AVENUE UNIT 02,NW,20012,9/25/2024,,,
5635-24,249 FLORIDA AVE UNIT 22,NW,20001,9/25/2024,,,
9277-23,3636 16TH STREET UNIT A-946,NW,20010,9/25/2024,,,
7905-22,3733 BENTON ST,NW,20007,9/25/2024,,,
8005-23,1736 UPSHUR STREET,NW,20011,9/25/2024,,,
4336-24,112 FORT DRIVE UNIT 3,NE,20011,9/26/2024,,,
0568-24,101 FRANKLIN STREET UNIT A21,NE,20002,9/26/2024,,,
3768-23,861 21ST STREET UNIT 8,NE,20002,9/26/2024,,,
3954-24,904 22ND STREET UNIT 103,NE,20002,9/26/2024,,,
4994-24,3298 FORT LINCOLN DRIVE UNIT 724,NE,20018,9/26/2024,,,
4323-24,112 FORT DRIVE UNIT 1,NE,20011,9/26/2024,,,
2606-24,2123 I STREET UNIT 5,NE,20002,9/26/2024,,,
4343-24,111 TAUSSIG PLACE UNIT 1,NE,20011,9/26/2024,,,
4716-24,3716 HAYES STREET UNIT 202,NE,20019,9/26/2024,,,
4711-24,3679 JAY STREET UNIT 101,NE,20019,9/26/2024,,,
6560-23,320 FLORIDA AVENUE #214,NE,20002,9/26/2024,,,
8249-23,"625 MONROE STREET, #215",NE,20017,9/26/2024,,,
0032-24,"2300 WASHINGTON PLACE, #211",NE,20018,9/26/2024,,,
5537-24,"142 42ND STREET, #H-12",NE,20019,9/26/2024,,,
2202-23,"123 FRANKLIN STREET, #L22",NE,20002,9/26/2024,,,
5184-24,"600 KENILWROTH TERRACE, #430",NE,20019,9/26/2024,,,
5583-24,"3005 BLADENSBURG ROAD, #701",NE,20018,9/26/2024,,,
6620-24,"316 18TH PLACE,#1",NE,20002,9/26/2024,,,
5575-24,3335 C STREET #33,SE,20019,10/1/2024,,,
10371-23,1710 TRENTON PLACE UNIT 304,SE,20020,10/1/2024,,,
4028-24,4501 1ST STREET UNIT 102,SE,20032,10/1/2024,,,
4182-24,4507 SOUTH CAPITOL STREET UNIT 202,SW,20032,10/1/2024,,,
4058-24,6 FORRESTER STREET UNIT 102,SE,20032,10/1/2024,,,
9264-23,3420 18TH STREET UNIT 302,SE,20020,10/1/2024,,,
4314-24,1100 TRENTON PLACE UNIT 203,SE,20032,10/1/2024,,,
4354-24,3101 PENNSYLVANIA AVENUE UNIT 202,SE,20020,10/1/2024,,,
6557-23,2219 TOWN CENTER DRIVE UNIT 434,SE,20020,10/1/2024,,,
2730-24,3101 PENNSYLVANIA AVENUE UNIT 317,SE,20020,10/1/2024,,,
4162-24,4504 SOUTH CAPITOL STREET UNIT 101,SE,20032,10/1/2024,,,
4158-24,4503 1ST STREET UNIT 101,SE,20032,10/1/2024,,,
8598-22,1601 MORRIS ROAD UNIT 304,SE,20020,10/1/2024,,,
4340-24,4501 1ST STREET UNIT 102,SE,20032,10/1/2024,,,
