9421-23,35 PARKER ROW #1251,SW,20024,4/16/2024,Unnamed: 0,Unnamed: 1,Unnamed: 2
9425-23,"35 PARKER ROW, #952",SW,20024,4/16/2024,,,
9423-23,"35 PARKER ROW, #956",SW,20024,4/16/2024,,,
9420-23,"35 PARKER ROW, #1054",SW,20024,4/16/2024,,,
5790-23,"3856 HALLEY TERRACE, #1",SE,20032,4/16/2024,,,
4822-23,2121 1ST STREET #305,SW,20024,4/16/2024,,,
2587-23,"429 BURBANK ST., APT #2",SE,20019,4/16/2024,,,
5250-23,4638 LIVINGSTON ROAD #304,SE,20032,4/16/2024,,,
10277-23,"1221 VAN STREET, #211026",SE,20003,4/16/2024,,,
7841-23,"3 TINGEY SQUARE, #420",SE,20003,4/16/2024,,,
5411-23,"4235 1ST STREET, #4",SE,20032,4/16/2024,,,
9027-23,"2945 KNOX PLACE, #102",SE,20020,4/16/2024,,,
9008-23,"2412 HARTFORD STREET, #103",SE,20020,4/16/2024,,,
10427-23,"2404 HARTFORD STREET, #304",SE,20020,4/16/2024,,,
7380-23,"3094 STANTON ROAD, #103",SE,20020,4/16/2024,,,
7334-22,"39 MISSISSIPPI AVENUE, #305",SE,20032,4/16/2024,,,
6156-23,"3024 NELSON PLACE, #4",SE,20019,4/16/2024,,,
1953-23,"4660 MARTIN LUTHER KING JR. AVENUE, #C907",SW,20032,4/16/2024,,,
9034-23,"2410 HARTFORD STREET, #203",SE,20020,4/16/2024,,,
10461-23,"855 CHESAPEAK STREET, #302",SE,20032,4/16/2024,,,
27864-19,"286 M STREET,",SW,20024,4/16/2024,,,
10362-23,"39 MISSISSIPPI AVENUE, #101",SE,20032,4/16/2024,,,
8031-23,"1550 FIRST STREET, #603",SW,20024,4/16/2024,,,
10546-23,"1550 FIRST STREET, #1005",SW,20024,4/16/2024,,,
7962-22,"531 G STREET, #202",SW,20024,4/16/2024,,,
4876-22,"1101 EUCLID ST., #12",NW,20009,4/17/2024,,,
8607-22,"4201 MASSACHUSETTS AVENUE, #041C",NW,20016,4/17/2024,,,
9308-23,"1255 WISCONSIN AVENUE, (ROOM#8)",NW,20007,4/17/2024,,,
2927-23,"3140 WISCONSIN AVENUE, #407",NW,20016,4/17/2024,,,
5058-23,"1312 MASSACHUSETTS AVENUE, UNIT#501",NW,20005,4/17/2024,,,
1507-23,2619 42ND ST. #303,NW,20007,4/17/2024,,,
6303-14,267 V STREET,NW,20001,4/17/2024,,,
8241-18,"334 V STREET, APT. #31",NW,20001,4/17/2024,,,
23621-15,229 V STREET,NW,20001,4/17/2024,,,
